,Xt_MPI 1,Xt_MPI 3,Xt_MPI 6
iVMThal,0.27994903216131606,0.3961188391003826,0.38198106359099904
iTC,0.013305245311050713,0.053029548590140196,0.10002193892146252
iCA,0.21097168539231065,0.26799914961801846,0.2800743465695427
iBLA,0.2877296038609174,0.33143904262142837,0.33553329062801507
iBMA,0.07853730100123488,0.17765544538405362,0.23668823569132583
cRSC,0.07226649713366534,0.18386421980775008,0.22063961688267797
cS1-b,0.06422384468149732,0.16230630537495305,0.19688098850913952
cS2,0.0974109749175042,0.2187187245513791,0.24321436385406545
cIns,0.26098195502045873,0.4446660104139057,0.4565430181984937
cAIP,0.0737940301729084,0.14911181905843895,0.1787073347149226
cEn,0.021429443321951784,0.08729437321009098,0.14571736756879333
cHipp,0.0027438621374145417,0.020498326646784155,0.05819639244845272
cMDThal,0.08025805888471144,0.12775138734218855,0.15840921697022142
cLDThal,0.031214435106158917,0.12581131320109898,0.18739784385617955
cVLThal,0.09575667771722529,0.20129896973325784,0.23497614678126627
cVMThal,0.09871752590884647,0.19357090546001285,0.21451777586453488
cTC,0.009341674460597927,0.04076416451486615,0.08322326687109538
cCA,0.1202473498885242,0.1683400944365874,0.19193909280831983
cBLA,0.11737759154394112,0.16123525805328184,0.18804986926362485
cBMA,0.0323207207215247,0.09068448712104106,0.14300083255847537
iRSC-b,0.1247249711938858,0.2684058217879088,0.3016480962175845
iV,0.21098337753856583,0.3594099085048834,0.3797312955618758
iAu,0.20667200573928565,0.3328341739450985,0.34125877874894833
iTeA,0.3083522616393821,0.4059631910461555,0.3934419957958787
iEct,0.039478364362612234,0.15523047150365,0.2422351489672345
iPRh,0.2400833318636289,0.28633632088543015,0.2971201880293563
iLEnt,0.1315356147025682,0.22993024589035468,0.2719886417989933
iBLP,0.3450334207645827,0.3590359316956187,0.34984714945787954
iPMCo,0.021096550113146734,0.11609349336740139,0.21161571838874613
iSC,0.02868631564022212,0.08217234225422336,0.12158365941847503
iCauThal,0.17569637481552428,0.27735718538599063,0.29470571356168046
iSN,0.5185741430931291,0.5596883045088121,0.5003037604174561
iMamm,0.10236468341774965,0.16067194782928004,0.19551746722113092
iDpMe,0.11415728874036718,0.218292905433303,0.25526994291107935
iVTA,0.07077386407066012,0.12529565636925075,0.16804131578072293
iPAG,0.004983020512434159,0.02829328178451265,0.0678889717900121
cRSC-b,0.05812180302589935,0.16773831849396464,0.21172017655038594
cV,0.045696392108047365,0.13334244176832422,0.1816322606265658
cAu,0.08375630556825255,0.17899772305270412,0.21096894900402688
cTeA,0.1339286576140513,0.2145224616563705,0.23531844557337778
cEct,0.016776741114677262,0.08367714697529276,0.1543398436392093
cPRh,0.17032830088477752,0.2137484531409561,0.23206079406852462
cLEnt,0.03886702659776233,0.10602063645477607,0.15576139094280456
cBLP,0.14155824006490483,0.17272058291601672,0.19235594422799931
cPMCo,0.00727370485430603,0.05619775613674742,0.1267673775432455
cSC,0.01646103916920241,0.05892548066670598,0.0981125240518037
cCauThal,0.04417171054572943,0.11257591396452436,0.15052657566327715
cSN,0.004973803087343724,0.027637967335458605,0.06416351606028091
cMamm,0.02580202972482498,0.07432118644184539,0.1169273069986154
cDpMe,0.004154184220063589,0.026535345753721795,0.0636426232977045
cVTA,0.028488784965540824,0.07302359891897514,0.11975710236677967
cPAG,0.004862146450272468,0.022542012223122798,0.056486099902959885
iSuM,0.0031890811305693464,0.02323546001701859,0.0626474385353991
cSuM,0.004800628444931743,0.028421175730963203,0.06957801508482672
iV-b,0.10109384143950707,0.24312710046667096,0.307500559638929
iEnt,0.0976745860328017,0.20918371925483792,0.2603071171781764
iPS,0.03334833219100509,0.13439264421935948,0.21265840119455304
iRSA,0.149756935521295,0.28454026187014536,0.3078923941240624
iSuC,0.00474028898782172,0.027856221992079502,0.0666943123997927
iIC,0.014526860877792593,0.041219760273285264,0.07639144088012645
iPnO,0.007633736168267378,0.039054887660828944,0.08518220587846968
cV-b,0.022126442279432564,0.09802261066449056,0.16359904637354264
cEnt,0.02861655154351409,0.09689839208010936,0.15116627955059972
cPS,0.01753806268707846,0.09445694089118102,0.16919705988652295
cRSA,0.07227203688796065,0.1838718255036354,0.22064558748843785
cSuC,0.0017990593822588387,0.014124890148062048,0.042403438161951176
cIC,0.011958960658640222,0.03486862288129856,0.06877832615278487
cPnO,0.008373794149857158,0.04116913700396832,0.0877608928462614
